Ref,Part,Role,MPN,Manufacturer,Distributor link
U7,Lite-On LTV-247,4-channel opto-isolator (channels 1-4),LTV-247,Lite-On,https://www.digikey.com/en/products/detail/liteon/LTV-247/4307982
U8,Lite-On LTV-247,4-channel opto-isolator (channels 5-8),LTV-247,Lite-On,https://www.digikey.com/en/products/detail/liteon/LTV-247/4307982
J2,"Phoenix Contact MC 1,5/9-ST-3,5",8-channel + common field connector,1840434,Phoenix Contact,https://www.newark.com/phoenix-contact/mc-1-5-9-st-3-5/plug-free-3-5mm-9way/dp/14J3299
D1,Generic small-signal diode,Reverse-protection ch1,1N4148,generic,
D2,Generic small-signal diode,Reverse-protection ch2,1N4148,generic,
D3,Generic small-signal diode,Reverse-protection ch3,1N4148,generic,
D4,Generic small-signal diode,Reverse-protection ch4,1N4148,generic,
D5,Generic small-signal diode,Reverse-protection ch5,1N4148,generic,
D6,Generic small-signal diode,Reverse-protection ch6,1N4148,generic,
D7,Generic small-signal diode,Reverse-protection ch7,1N4148,generic,
D8,Generic small-signal diode,Reverse-protection ch8,1N4148,generic,
R10,Generic E24 2.4k 1W,Current-limiting ch1,generic,generic,
R11,Generic E24 10k,Pull-up ch1,generic,generic,
R12,Generic E24 2.4k 1W,Current-limiting ch2,generic,generic,
R13,Generic E24 10k,Pull-up ch2,generic,generic,
R15,Generic E24 2.4k 1W,Current-limiting ch3,generic,generic,
R17,Generic E24 10k,Pull-up ch3,generic,generic,
R14,Generic E24 2.4k 1W,Current-limiting ch4,generic,generic,
R16,Generic E24 10k,Pull-up ch4,generic,generic,
R19,Generic E24 2.4k 1W,Current-limiting ch5,generic,generic,
R21,Generic E24 10k,Pull-up ch5,generic,generic,
R18,Generic E24 2.4k 1W,Current-limiting ch6,generic,generic,
R20,Generic E24 10k,Pull-up ch6,generic,generic,
R23,Generic E24 2.4k 1W,Current-limiting ch7,generic,generic,
R25,Generic E24 10k,Pull-up ch7,generic,generic,
R22,Generic E24 2.4k 1W,Current-limiting ch8,generic,generic,
R24,Generic E24 10k,Pull-up ch8,generic,generic,
C13,"Generic ceramic X7R, 100nF",Filter cap ch1,generic,generic,
C14,"Generic ceramic X7R, 100nF",Filter cap ch2,generic,generic,
C16,"Generic ceramic X7R, 100nF",Filter cap ch3,generic,generic,
C15,"Generic ceramic X7R, 100nF",Filter cap ch4,generic,generic,
C18,"Generic ceramic X7R, 100nF",Filter cap ch5,generic,generic,
C17,"Generic ceramic X7R, 100nF",Filter cap ch6,generic,generic,
C20,"Generic ceramic X7R, 100nF",Filter cap ch7,generic,generic,
C19,"Generic ceramic X7R, 100nF",Filter cap ch8,generic,generic,
