Ref,Part,Role,MPN,Manufacturer,Distributor link
U4,Quectel EG915UEUAC-N05-SNNSA,"LTE Cat-1 modem (+2G fallback), EU band variant",EG915UEUAC-N05-SNNSA,Quectel,https://quectel.com/content/uploads/2024/02/Quectel_EG915U_Series_Hardware_Design_V1.1.pdf
U5,TI TXB0102DCUR,"2-channel level shifter, 1.8V (MAIN_TXD/MAIN_RXD) <-> 3.3V (LTE_TXD/LTE_RXD) - checked and confirmed correctly wired 2026-09-19, see lte.md Step 4",TXB0102DCUR,Texas Instruments,https://www.ti.com/lit/gpn/txb0102
J3,"SMA jack, board/panel mount (Conn_Coaxial symbol placed - real MPN not yet selected)","ANT_MAIN board connector; shield to EARTH, RF pin No Connect (fed by coax pigtail, not a PCB net) - same pattern as wifi.md's J2",TBD,TBD,
J4,JAE SF53S006VCBR2000,"Micro-SIM push-push holder, 6-contact (C1/C2/C3/C5/C6/C7; C4/C8 not present); C6 (VPP) No-Connect",SF53S006VCBR2000,JAE,
D1,STMicroelectronics ESDA6V1BC6,"SIM interface ESD protection, quad TVS array (SOT23-6L), 3 of 4 channels used (RST/CLK/DATA)",ESDA6V1BC6,STMicroelectronics,https://www.mouser.com.tr/
D3,Littelfuse/Bourns SMAJ5.0A (representative),"VBAT reverse-standoff TVS protection",SMAJ5.0A,Littelfuse / Bourns,
D4,"Generic bidirectional TVS placed (D_TVS symbol) - real part not finalized","ANT_MAIN ESD protection at J3; spec is <=0.05pF / <=5V per Quectel's reference note - no real part found that meets both; closest candidate Littelfuse PGB1010603 (0.06pF, but 24V standoff - exceeds the 5V spec)",TBD,TBD,https://www.littelfuse.com/assetdocs/pulseguard-esd-suppressors-pgb1-datasheet?assetguid=8a337998-d54d-466b-be4e-dc5bcd1f9321
Q4,Generic small-signal NPN (Q_NPN symbol placed),"RESET_N driver transistor, pre-biased-transistor topology (base 4.7k + base-emitter 47k)",MMBT3904 or BC847 (suggested - not finalized),generic,
Q5,Generic small-signal NPN (Q_NPN symbol placed),"PWRKEY driver transistor, same topology as Q4",MMBT3904 or BC847 (suggested - not finalized),generic,
R22,Generic E24 10k,"Level shifter OE divider, high side: VDD_EXT to OE (with R31 forming the divider to GND_LOGIC)",generic,generic,
R28,Generic E24 15k,"SIM DATA pull-up, to USIM1_VDD",generic,generic,
R33,Generic E24 4.7k,"RESET_N (Q4) base series resistor",generic,generic,
R34,Generic E24 47k,"RESET_N (Q4) base-emitter resistor",generic,generic,
R35,Generic E24 4.7k,"PWRKEY (Q5) base series resistor",generic,generic,
R36,Generic E24 47k,"PWRKEY (Q5) base-emitter resistor",generic,generic,
R25,Generic E24 0R,"SIM RST line link, between J4 and D1's ESD/filter node - role confirmed 2026-09-19",generic,generic,
R29,Generic E24 0R,"SIM DATA line link, between J4 and D1's ESD/filter node - role confirmed 2026-09-19",generic,generic,
R30,Generic E24 0R,"SIM CLK line link, between J4 and D1's ESD/filter node - role confirmed 2026-09-19",generic,generic,
R31,Generic E24 120k,"Level shifter OE divider, low side: OE to GND_LOGIC (with R22 forming the divider from VDD_EXT) - role confirmed 2026-09-19",generic,generic,
R32,Generic E24 0R,"ANT_MAIN matching network series link (populated position, per Quectel reference design)",generic,generic,
C0603,"Ceramic, NM (not mounted - reserved footprint only)","ANT_MAIN matching network shunt cap position, left unpopulated per Quectel's own reference design - reference designator non-standard, recommend re-annotating",generic,generic,
CO604,"Ceramic, NM (not mounted - reserved footprint only)","ANT_MAIN matching network shunt cap position, left unpopulated per Quectel's own reference design - reference designator has a typo (letter O, not digit 0) and is non-standard, recommend re-annotating",generic,generic,
C11,"Generic ceramic, 100nF","Role not independently confirmed this pass",generic,generic,
C13,"Generic ceramic, 100nF","SIM VDD (USIM1_VDD) bypass cap, to GND_LOGIC",generic,generic,
C16,"Generic ceramic, 33pF","SIM RST line filter cap",generic,generic,
C17,"Generic ceramic, 33pF","SIM CLK line filter cap",generic,generic,
C18,"Generic ceramic, 33pF","SIM DATA line filter cap",generic,generic,
C19,"Generic ceramic X7R, 100nF","VBAT_BB decoupling array (with C_bulk3/C20/C21)",generic,generic,
C20,"Generic ceramic C0G/NP0, 33pF","VBAT_BB decoupling array",generic,generic,
C21,"Generic ceramic C0G/NP0, 10pF","VBAT_BB decoupling array",generic,generic,
C22,"Generic ceramic X7R, 100nF","VBAT_RF decoupling array (with C_bulk4/C23/C24)",generic,generic,
C23,"Generic ceramic C0G/NP0, 33pF","VBAT_RF decoupling array",generic,generic,
C24,"Generic ceramic C0G/NP0, 10pF","VBAT_RF decoupling array",generic,generic,
C26,"Generic ceramic, 10nF","PWRKEY (Q5 branch) debounce cap - Figure 10 shows this on PWRKEY only, not RESET_N (no C25 by design)",generic,generic,
C_BYPASS1,"Generic ceramic, 2.2uF","U5's VCCA bypass cap, VDD_EXT to GND_LOGIC - per decision 4, confirmed correctly wired 2026-09-19",generic,generic,
C_bulk3,"Generic ceramic/polymer, 100uF low-ESR (<=0.7 Ohm)","VBAT_BB bulk decoupling cap",generic,generic,
C_bulk4,"Generic ceramic/polymer, 100uF low-ESR (<=0.7 Ohm)","VBAT_RF bulk decoupling cap",generic,generic,
(off-board),"Wideband SMA antenna, ~617MHz-3.8GHz, tilt/swivel",Screws onto J3,ANT-LTE-MON-SMA-L,TE Connectivity / Linx,
